#VEHICLE DEFINITIONS FILE																										
#REM 	Large Base 3																									
#FACTION 1																										
																										
BREED : DEFINITIONS																										
#REM	Main Base - #DEFENITIONS																									
#REM	DEF	OBNAME	MODE	MESH	HEAD_ICON	COCKPIT	ICON	COLLISN	DETECT	DRANGE	CAMERA	SHADOW	MASS KG	THRUST KG	DAMAGE	MAXVEL	ACCEL	SPACE	SURF	TILT_Z	CAN CARRY	VIEW OB	TARGET OB	SOUND Db	FIREMISSION AWARE	TARGETABLE
	#DEF	BSE-LARGEBASE3_MP	STATIC	1751	-1	0	0	POLY	NONE	0	0	0	0	0	10000000	0	0	0	1	0	1	0	0	0	0	0
	#DEF	BSE-LargeBase3_BASE_MP	STATIC	007	-1	0	0	POLY	NONE	0	0	0	0	0	10000000	0	0	0	1	0	1	0	0	0	0	0
	#DEF	BSE-LargeBase3_MID_MP	STATIC	006	-1	0	0	POLY	NONE	0	0	0	0	0	10000000	0	0	0	1	0	1	0	0	0	0	0
	#DEF	BSE-LargeBase3_TOP_MP	STATIC	593	-1	0	0	POLY	NONE	0	0	0	0	0	10000000	0	0	0	1	0	1	0	0	0	0	0
	#DEF	BSE-DOORARIGHT_MP	DOOR	1749	-1	0	0	POLY	NONE	0	0	0	0	0	10000000	0	0	0	1	0	0	0	0	0	0	0
	#DEF	BSE-DOORALEFT_MP	DOOR	1750	-1	0	0	POLY	NONE	0	0	0	0	0	10000000	0	0	0	1	0	0	0	0	0	0	0
	#DEF	BSE-DOORBRIGHT_MP	DOOR	1753	-1	0	0	POLY	NONE	0	0	0	0	0	10000000	0	0	0	1	0	0	0	0	0	0	0
	#DEF	BSE-DOORBLEFT_MP	DOOR	1752	-1	0	0	POLY	NONE	0	0	0	0	0	10000000	0	0	0	1	0	0	0	0	0	0	0
	#DEF	BSE-DOORCLEFT_MP	DOOR	1992	-1	0	0	POLY	NONE	0	0	0	0	0	10000000	0	0	0	1	0	0	0	0	0	0	0
	#DEF	BSE-DOORCRIGHT_MP	DOOR	1993	-1	0	0	POLY	NONE	0	0	0	0	0	10000000	0	0	0	1	0	0	0	0	0	0	0
																										
#rem	#DEF	ST-LARGEBASE3_DOORA_A_MP	STATIC	1974	-1	0	0	POLY	NONE	0	0	0	0	0	100000	0	0	0	1	0	0	0	0	0	0	0
#rem	#DEF	ST-LARGEBASE3_DOORA_A_DRR_MP	STATIC	1976	-1	0	0	NONE	NONE	0	0	0	0	0	100000	0	0	0	1	0	0	0	0	0	0	0
#rem	#DEF	ST-LARGEBASE3_DOORA_A_DRL_MP	STATIC	1975	-1	0	0	NONE	NONE	0	0	0	0	0	100000	0	0	0	1	0	0	0	0	0	0	0
#rem	#DEF	ST-LARGEBASE3_DOORA_B_MP	STATIC	1965	-1	0	0	POLY	NONE	0	0	0	0	0	100000	0	0	0	1	0	0	0	0	0	0	0
#rem	#DEF	ST-LARGEBASE3_DOORA_B_SWITCH_MP	STATIC	1966	-1	0	0	POLY	NONE	0	0	0	0	0	100000	0	0	0	1	0	0	0	0	0	0	0
#REM	Use Once Only Switch #DEFENITIONS																									
#REM	DEF	OBNAME	MODE	MESH	HEAD_ICON	COCKPIT	ICON	COLLISN	DETECT	DRANGE	CAMERA	SHADOW	MASS KG	THRUST KG	DAMAGE	MAXVEL	ACCEL	SPACE	SURF	TILT_Z	CAN CARRY	VIEW OB	TARGET OB	SOUND Db	FIREMISSION AWARE	TARGETABLE
	#DEF	ST-LARGEBASE3_DOORA_A_MP	STATIC	1974	-1	0	0	POLY	NONE	0	0	0	0	0	1000000	0	0	0	0	0	0	0	0	0	0	0
