#VEHICLE DEFINITIONS FILE																										
#REM 	Multiplayer Additional Buildings																									
#FACTION 1																										
																										
BREED : DEFINITIONS																										
#REM	Main Base(Paveway_MP) - #DEFENITIONS																									
#REM	DEF	OBNAME	MODE	MESH	HEAD_ICON	COCKPIT	ICON	COLLISN	DETECT	DRANGE	CAMERA	SHADOW	MASS KG	THRUST KG	DAMAGE	MAXVEL	ACCEL	SPACE	SURF	TILT_Z	CAN CARRY	VIEW OB	TARGET OB	SOUND Db	FIREMISSION AWARE	TARGETABLE
	#DEF	RB-Spyglass_Base_DM	STATIC	1643	-1	0	0	POLY	NONE	0	0	0	0	0	1000000	0	0	0	0	0	1	0	0	0	0	0
	#DEF	RB-Spyglass_BMid_DM	STATIC	1646	-1	0	0	POLY	NONE	0	0	0	0	0	4000	0	0	0	0	0	1	0	0	0	0	0
	#DEF	OBK-OL_SGLASS_A	STATIC	1644	-1	0	0	POLY	NONE	0	0	0	0	0	500	0	0	0	0	0	0	0	0	0	0	0
	#DEF	OBK-OL_SGLASS_B	STATIC	1644	-1	0	0	POLY	NONE	0	0	0	0	0	500	0	0	0	0	0	0	0	0	0	0	0
	#DEF	OBK-OL_SGLASS_C	STATIC	1644	-1	0	0	POLY	NONE	0	0	0	0	0	500	0	0	0	0	0	0	0	0	0	0	0
	#DEF	OBK-OL_SGLASS_D	STATIC	1644	-1	0	0	POLY	NONE	0	0	0	0	0	500	0	0	0	0	0	0	0	0	0	0	0
	#DEF	OBK-OM_SGASS_A	STATIC	1645	-1	0	0	POLY	NONE	0	0	0	0	0	250	0	0	0	0	0	0	0	0	0	0	0
	#DEF	OBK-OM_SGASS_B	STATIC	1645	-1	0	0	POLY	NONE	0	0	0	0	0	250	0	0	0	0	0	0	0	0	0	0	0
	#DEF	OBK-OM_SGASS_C	STATIC	1645	-1	0	0	POLY	NONE	0	0	0	0	0	250	0	0	0	0	0	0	0	0	0	0	0
	#DEF	OBK-OM_SGASS_D	STATIC	1645	-1	0	0	POLY	NONE	0	0	0	0	0	250	0	0	0	0	0	0	0	0	0	0	0
	#DEF	OBK-OM_SGASS_E	STATIC	1645	-1	0	0	POLY	NONE	0	0	0	0	0	250	0	0	0	0	0	0	0	0	0	0	0
	#DEF	OBK-OM_SGASS_F	STATIC	1645	-1	0	0	POLY	NONE	0	0	0	0	0	250	0	0	0	0	0	0	0	0	0	0	0
	#DEF	OBK-OM_SGASS_G	STATIC	1645	-1	0	0	POLY	NONE	0	0	0	0	0	250	0	0	0	0	0	0	0	0	0	0	0
	#DEF	OBK-OM_SGASS_H	STATIC	1645	-1	0	0	POLY	NONE	0	0	0	0	0	250	0	0	0	0	0	0	0	0	0	0	0
	#DEF	OBK-OM_SGASS_I	STATIC	1645	-1	0	0	POLY	NONE	0	0	0	0	0	250	0	0	0	0	0	0	0	0	0	0	0
	#DEF	OBK-OM_SGASS_J	STATIC	1645	-1	0	0	POLY	NONE	0	0	0	0	0	250	0	0	0	0	0	0	0	0	0	0	0
	#DEF	OBK-OM_SGASS_K	STATIC	1645	-1	0	0	POLY	NONE	0	0	0	0	0	250	0	0	0	0	0	0	0	0	0	0	0
	#DEF	OBK-OM_SGASS_L	STATIC	1645	-1	0	0	POLY	NONE	0	0	0	0	0	250	0	0	0	0	0	0	0	0	0	0	0
	#DEF	OBK-OM_SGASS_M	STATIC	1645	-1	0	0	POLY	NONE	0	0	0	0	0	250	0	0	0	0	0	0	0	0	0	0	0
	#DEF	OBK-OM_SGASS_N	STATIC	1645	-1	0	0	POLY	NONE	0	0	0	0	0	250	0	0	0	0	0	0	0	0	0	0	0
	#DEF	OBK-OM_SGASS_O	STATIC	1645	-1	0	0	POLY	NONE	0	0	0	0	0	250	0	0	0	0	0	0	0	0	0	0	0
	#DEF	OBK-OM_SGASS_P	STATIC	1645	-1	0	0	POLY	NONE	0	0	0	0	0	250	0	0	0	0	0	0	0	0	0	0	0
	#DEF	OBK-OM_SGASS_Q	STATIC	1645	-1	0	0	POLY	NONE	0	0	0	0	0	250	0	0	0	0	0	0	0	0	0	0	0
	#DEF	OBK-OM_SGASS_R	STATIC	1645	-1	0	0	POLY	NONE	0	0	0	0	0	250	0	0	0	0	0	0	0	0	0	0	0
	#DEF	BU-PATROLNESTA_MP	STATIC	1638	-1	0	0	POLY	NONE	0	0	0	100000	0	500	0	0	0	1	0	1	0	0	0	0	0
	#DEF	BU-PATROLNESTB_MP	STATIC	1638	-1	0	0	POLY	NONE	0	0	0	100000	0	500	0	0	0	1	0	1	0	0	0	0	0
	#DEF	RB-SG_BMID_INT_DM	STATIC	2687	-1	0	0	POLY	NONE	0	0	0	0	0	500	0	0	0	0	0	0	0	0	0	0	0
	#DEF	LGT-SG_WLIGHT_SMALL_B_DM	STATIC	1445	-1	0	0	NONE	NONE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	#DEF	LGT-SG_WLIGHT_SMALL_C_DM	STATIC	1446	-1	0	0	NONE	NONE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
																										
#REM	Large Bridge(Paveway_MP)  - #DEFENITIONS																									
#REM	DEF	OBNAME	MODE	MESH	HEAD_ICON	COCKPIT	ICON	COLLISN	DETECT	DRANGE	CAMERA	SHADOW	MASS KG	THRUST KG	DAMAGE	MAXVEL	ACCEL	SPACE	SURF	TILT_Z	CAN CARRY	VIEW OB	TARGET OB	SOUND Db	FIREMISSION AWARE	TARGETABLE
	#DEF	PB2-SRAMP_MP	STATIC	1637	-1	0	0	POLY	NONE	0	0	0	0	0	99999999	0	0	0	0	0	1	0	0	0	0	0
	#DEF	PB-SBRIDGE_MP	DOOR	533	-1	0	0	POLY	OWNER	0	0	0	0	0	1000	0	0	0	0	0	1	0	0	0	0	0
	#DEF	PB-PIER01_MP	STATIC	528	-1	0	0	POLY	NONE	0	0	0	0	0	99999999	0	0	0	0	0	1	0	0	0	0	0
	#DEF	PB-PIER_MP	STATIC	528	-1	0	0	POLY	NONE	0	0	0	0	0	99999999	0	0	0	0	0	1	0	0	0	0	0
	#DEF	PB2-LTOWER_MP	STATIC	1636	-1	0	0	POLY	NONE	0	0	0	0	0	1500	0	0	0	0	0	1	0	0	0	0	0
	#DEF	PB-LTOWERINSIDE_MP	STATIC	527	-1	0	0	POLY	NONE	0	0	0	0	0	99999999	0	0	0	0	0	1	0	0	0	0	0
	#DEF	PB2-LTOWER01_MP	STATIC	1636	-1	0	0	POLY	NONE	0	0	0	0	0	1500	0	0	0	0	0	1	0	0	0	0	0
	#DEF	PB-LTOWERINSIDE01_MP	STATIC	527	-1	0	0	POLY	NONE	0	0	0	0	0	99999999	0	0	0	0	0	1	0	0	0	0	0
	#DEF	ST-LARGEA_A_MP	STATIC	1965	-1	0	0	POLY	NONE	0	0	0	0	0	10000000	0	0	0	1	0	0	0	0	0	0	0
	#DEF	ST-LARGEA_B_MP	STATIC	1965	-1	0	0	POLY	NONE	0	0	0	0	0	10000000	0	0	0	1	0	0	0	0	0	0	0
	#DEF	ST-LARGEA_C_MP	STATIC	1965	-1	0	0	POLY	NONE	0	0	0	0	0	10000000	0	0	0	1	0	0	0	0	0	0	0
	#DEF	ST-LARGEA_D_MP	STATIC	1965	-1	0	0	POLY	NONE	0	0	0	0	0	10000000	0	0	0	1	0	0	0	0	0	0	0
	#DEF	ST-LARGEB_Switch_MP	STATIC	2661	-1	0	0	NONE	NONE	0	0	0	0	0	500	0	0	0	1	0	0	0	0	0	0	0
																										
#REM	Defensive Bunker(Paveway_MP) - #DEFENITIONS																									
#REM	DEF	OBNAME	MODE	MESH	HEAD_ICON	COCKPIT	ICON	COLLISN	DETECT	DRANGE	CAMERA	SHADOW	MASS KG	THRUST KG	DAMAGE	MAXVEL	ACCEL	SPACE	SURF	TILT_Z	CAN CARRY	VIEW OB	TARGET OB	SOUND Db	FIREMISSION AWARE	TARGETABLE
	#DEF	DB-BASE_MP	STATIC	536	-1	0	0	POLY	NONE	0	0	0	100000	0	1000	0	0	0	1	0	1	0	0	0	0	0
	#DEF	DB-ARMA_MP	DOOR	550	-1	0	0	POLY	NONE	0	0	0	100000	0	10000000	0	0	0	1	0	1	0	0	0	0	0
	#DEF	DB-ARMA01_MP	STATIC	550	-1	0	0	POLY	NONE	0	0	0	100000	0	10000000	0	0	0	1	0	1	0	0	0	0	0
	#DEF	DB-ARMB_MP	DOOR	551	-1	0	0	POLY	NONE	0	0	0	100000	0	10000000	0	0	0	1	0	1	0	0	0	0	0
	#DEF	DB-ARMB01_MP	STATIC	551	-1	0	0	POLY	NONE	0	0	0	100000	0	10000000	0	0	0	1	0	1	0	0	0	0	0
	#DEF	DB-ARMC_MP	DOOR	552	-1	0	0	POLY	NONE	0	0	0	100000	0	10000000	0	0	0	1	0	1	0	0	0	0	0
