#VEHICLE DEFINITIONS FILE
#REM 	USC SnowChaser Building	
#FACTION 1

BREED : DEFINITIONS
#REM	- #DEFENITIONS
#REM	DEF	OBNAME	MODE	MESH	HEAD_ICON	COCKPIT	ICON	COLLISN	DETECT	DRANGE	CAMERA	SHADOW	MASS KG	THRUST KG	DAMAGE	MAXVEL	ACCEL	SPACE	SURF	TILT_Z	CAN CARRY	VIEW OB	TARGET OB	SOUND Db	FIREMISSION AWARE	TARGETABLE
	#DEF	USC-SnowBase	STATIC	1987	-1	0	0	POLY	NONE	0	0	0	0	0	10000000	0	0	0	0	0	1	0	0	0	0	0
	#DEF	USC-SnowBaseBroken	STATIC	1988	-1	0	0	POLY	NONE	0	0	0	0	0	10000000	0	0	0	0	0	1	0	0	0	0	0
	#DEF	USC-SnowBaseBrokenB	STATIC	1989	-1	0	0	POLY	NONE	0	0	0	0	0	10000000	0	0	0	0	0	1	0	0	0	0	0
	#DEF	USC-SnowBase_Rail	STATIC	1466	-1	0	0	POLY	NONE	0	0	0	0	0	10000000	0	0	0	0	0	0	0	0	0	0	0
	#DEF	USC-SnowBaseBroken_Rail	STATIC	1468	-1	0	0	POLY	NONE	0	0	0	0	0	10000000	0	0	0	0	0	0	0	0	0	0	0
	#DEF	USC-SnowBaseBrokenB_Rail	STATIC	1470	-1	0	0	POLY	NONE	0	0	0	0	0	10000000	0	0	0	0	0	0	0	0	0	0	0

BREED : SUBOB
#REM	- #SUB-OBJECTS
#REM	SUBOB	VEHICLE	SUBOB	POS	ANGLE	TASK


BREED : STATE	
#REM	- #STATES
#REM	STATE	VEHICLE	STATE	TRUEANGLE	FALSE ANGLE	OFFSET	TRUE_SPD	FALSE_SPD	RATE

BREED : SWITCH
#REM	- #SWITCH
#REM	SWITCH	VEHICLE	TYPE	STATE	ICON	POS X	POS Y	POS Z	RADIUS	VAR


BREED : INPUT
#REM	- #INPUTS
#REM	INPUT	VEHICLE	AXIS	INPUT	MAX	MIN	RATE

BREED : DAMAGE MESH
#REM	- #DAMAGE_MESH
#REM	DAMAGE_MESH	VEHICLE	MESH


BREED : SPRT
#REM	- #SPRT
#REM	SPRITE	VEHICLE	TEXTURE	COLOR	POSITION	RADIUS


BREED : EMIT
#REM	- #EMIT
#REM	EMITTER	VEHICLE	MODE	LIFE	TEXTURE	PROBABL	RADIUS	BLOOM	COL1	COL2	POSITION	VELOCITY


BREED : SQUAD FOLLOW
#REM	- #SQUAD_FOLLOW
#REM	SQUAD_FOLLOW	VEHICLE	TRUE(1) FALSE(0)	RADIUS

BREED : TAG GENERATE
#REM	- #TAG_GENERATE
#REM	TAG_GENERATE	VEHICLE


BREED : ANIM
#REM	- #ANIM
#REM	ANIM	VEHICLE	ANIM	SUBINDEX

BREED : AMMO
#REM	- #AMMO
#REM	AMMO	VEHICLE	WEAPON	ROUNDS	MUZZLETYPE

BREED : ARM
#REM	- #ARM
#REM	ARM	VEHICLE	WEAPON	ROUNDS	MUZZLETYPE

BREED : PILOT
#REM	- #PILOT
#REM	PILOT	VEHICLE	PILOT OBJECT	POS	POSE	0-lying	1-sitting	2-standing

BREED : LOADPOS	
#REM	- #LOADPOS
#REM	LOADPOS	VEHICLE	WIDTH	LENGTH	HEIGHT	POS

BREED : INTERIOR SPACE
#REM	- #INTERIOR_SPACE
#REM	INTERIOR SPACE	VEHICLE	MIN X	MIN Y	MIN Z	MAX X	MAX Y	MAX Z

BREED : PANEL	
#REM	- #PANEL	
#REM	PANEL	VEHICLE	X	Y	Z	WIDTH	HEIGHT	X ANGLE	Y ANGLE	FONT W	FONT H	COLOR	TYPE	TEXT

BREED : WHEEL
#REM	- #WHEEL
#REM	WHEEL	VEHICLE	MESH	DRIVEN	STEERED	ROTATE	TRAVEL	POS

BREED : LNCHR
#REM	- #LNCHR
#REM	LNCHR	VEHICLE	TYPE	VEHICLE	OB	POS	OB	ANGLE	RELEASE	VELOCITY

BREED : APPRCH
#REM	- #APPRCH
#REM	APPRCH	VEHICLE	POS

BREED : CAMERA
#REM	- #CAMERA
#REM	CAMERA	VEHICLE	POS	ANGLE

BREED : VPOINT
#REM	- #VPOINT
#REM	VIEWPOINT	VEHICLE	POSITION

BREED : MZL
#REM	- #MZL
#REM	MUZZLE	VEHICLE	SUBTYPE	POSITION

#FACTION_END
