#VEHICLE DEFINITIONS FILE																										

USC : DEFINITIONS																										
#REM	DEF	OBNAME	MODE	MESH	HEAD_ICON	COCKPIT	ICON	COLLISN	DETECT	DRANGE	CAMERA	SHADOW	MASS KG	THRUST KG	DAMAGE	MAXVEL	ACCEL	SPACE	SURF	TILT_Z	CAN CARRY	VIEW OB	TARGET OB	SOUND Db	FIREMISSION AWARE	TARGETTABLE

#FACTION 0																										
																										
	#DEF	PrisonWaterPlane	STATIC	1986	-1	-1	-1	NONE	NONE	0	0	0	0	0	1000000	500	20	0	1	0	0	0	0	0	0	1

	#DEF	USCDARWIN	STATIC	623	-1	-1	-1	POLY	NONE	0	0	0	1500	0	1000000	500	20	1	0	0	1	0	0	0	0	1
	#DEF	USCDARWIN_MP	STATIC	623	-1	-1	-1	POLY	NONE	0	0	0	1500	0	1000000	500	20	1	0	0	1	0	0	0	0	1
	#DEF	DARWIN_SEC0	STATIC	70	-1	0	8	POLY	NONE	0	0	0	1500	0	1000000	500	20	1	0	0	1	0	0	0	0	0
	#DEF	DARWIN_SEC1	STATIC	71	-1	0	8	POLY	NONE	0	0	0	1500	0	1000000	500	20	1	0	0	1	0	0	0	0	0
	#DEF	DARWIN_SEC2	STATIC	72	-1	0	8	POLY	NONE	0	0	0	1500	0	1000000	500	20	1	0	0	1	0	0	0	0	0
	#DEF	DARWIN_SEC3	STATIC	73	-1	0	8	POLY	NONE	0	0	0	1500	0	1000000	500	20	1	0	0	1	0	0	0	0	0
	#DEF	DARWIN_SEC4	STATIC	74	-1	0	8	POLY	NONE	0	0	0	1500	0	1000000	500	20	1	0	0	1	0	0	0	0	0
	#DEF	DARWIN_SEC5	STATIC	75	-1	0	8	POLY	NONE	0	0	0	1500	0	1000000	500	20	1	0	0	1	0	0	0	0	0
	#DEF	DARWIN_SEC6	STATIC	76	-1	0	8	POLY	NONE	0	0	0	1500	0	1000000	500	20	1	0	0	1	0	0	0	0	0
	#DEF	DARWIN_SEC7	STATIC	77	-1	0	8	POLY	NONE	0	0	0	1500	0	1000000	500	20	1	0	0	1	0	0	0	0	0
	#DEF	DARWIN_SEC8	STATIC	78	-1	0	8	POLY	NONE	0	0	0	1500	0	1000000	500	20	1	0	0	1	0	0	0	0	0

	#DEF	DARWIN_SEC0_DUM	STATIC	5	-1	0	8	NONE	NONE	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
	#DEF	DARWIN_SEC1_DUM	STATIC	5	-1	0	8	NONE	NONE	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
	#DEF	DARWIN_SEC2_DUM	STATIC	5	-1	0	8	NONE	NONE	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
	#DEF	DARWIN_SEC3_DUM	STATIC	5	-1	0	8	NONE	NONE	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
	#DEF	DARWIN_SEC4_DUM	STATIC	5	-1	0	8	NONE	NONE	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
	#DEF	DARWIN_SEC5_DUM	STATIC	5	-1	0	8	NONE	NONE	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
	#DEF	DARWIN_SEC6_DUM	STATIC	5	-1	0	8	NONE	NONE	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
	#DEF	DARWIN_SEC7_DUM	STATIC	5	-1	0	8	NONE	NONE	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0

	#DEF	DARWIN_WALKWAYS	STATIC	2191	-1	0	8	POLY	NONE	0	0	0	1500	0	1000000	500	20	1	0	0	1	0	0	0	0	0
	#DEF	DARWIN_FUELAREA	STATIC	2194	-1	0	8	POLY	NONE	0	0	0	1500	0	1000000	500	20	1	0	0	1	0	0	0	0	0
	#DEF	DARWIN_CONTRUNWAY	STATIC	2196	-1	0	8	POLY	NONE	0	0	0	1500	0	1000000	500	20	1	0	0	1	0	0	0	0	0
	#DEF	DARWIN_CORSPLIT	STATIC	729	-1	0	8	POLY	NONE	0	0	0	1500	0	1000000	500	20	1	0	0	1	0	0	0	0	0
	#DEF	CORSPLIT_SHIELD	DOOR	0	-1	0	8	POLY	NONE	0	0	0	1500	0	1000000	500	20	1	0	0	0	0	0	0	0	0
	#DEF	DARWIN_WARROOM	STATIC	732	-1	0	8	POLY	NONE	0	0	0	1500	0	1000000	500	20	1	0	0	1	0	0	0	0	0
	#DEF	COMPUTER_BAY	STATIC	796	-1	0	8	POLY	NONE	0	0	0	1500	0	1000000	500	20	1	0	0	1	0	0	0	0	0
	#DEF	POOL_ROOM	STATIC	1590	-1	0	8	POLY	NONE	0	0	0	1500	0	1000000	500	20	1	0	0	1	0	0	0	0	0
