#VEHICLE DEFINITIONS FILE																										

USC : DEFINITIONS																										
#REM	DEF	OBNAME	MODE	MESH	HEAD_ICON	COCKPIT	ICON	COLLISN	DETECT	DRANGE	CAMERA	SHADOW	MASS KG	THRUST KG	DAMAGE	MAXVEL	ACCEL	SPACE	SURF	TILT_Z	CAN CARRY	VIEW OB	TARGET OB	SOUND Db	FIREMISSION AWARE	TARGETTABLE


	#DEF	SUN	ROTATE	344	-1	0	8	NONE	NONE	0	0	0	1500	0	1000000	500	20	1	0	0	0	0	0	0	0	0
	#DEF	MERCURY	ROTATE	345	-1	0	8	NONE	NONE	0	0	0	1500	0	1000000	500	20	1	0	0	0	0	0	0	0	0
	#DEF	VENUS	ROTATE	346	-1	0	8	NONE	NONE	0	0	0	1500	0	1000000	500	20	1	0	0	0	0	0	0	0	0
	#DEF	EARTH	ROTATE	347	-1	0	8	NONE	NONE	0	0	0	1500	0	1000000	500	20	1	0	0	0	0	0	0	0	0
	#DEF	MOON	ROTATE	348	-1	0	8	NONE	NONE	0	0	0	1500	0	1000000	500	20	1	0	0	0	0	0	0	0	0
	#DEF	MARS	ROTATE	349	-1	0	8	NONE	NONE	0	0	0	1500	0	1000000	500	20	1	0	0	0	0	0	0	0	0
	#DEF	JUPITER	ROTATE	354	-1	0	8	NONE	NONE	0	0	0	1500	0	1000000	500	20	1	0	0	0	0	0	0	0	0
	#DEF	SATURN	ROTATE	355	-1	0	8	NONE	NONE	0	0	0	1500	0	1000000	500	20	1	0	0	0	0	0	0	0	0
	#DEF	URANUS	ROTATE	356	-1	0	8	NONE	NONE	0	0	0	1500	0	1000000	500	20	1	0	0	0	0	0	0	0	0
	#DEF	NEPTUNE	ROTATE	357	-1	0	8	NONE	NONE	0	0	0	1500	0	1000000	500	20	1	0	0	0	0	0	0	0	0
	#DEF	PLUTO	ROTATE	358	-1	0	8	NONE	NONE	0	0	0	1500	0	1000000	500	20	1	0	0	0	0	0	0	0	0

	#DEF	HOLORADAR	ROTATE	774	-1	0	8	NONE	NONE	0	0	0	1500	0	1000000	500	20	1	0	0	0	0	0	0	0	0
	#DEF	HOLORADAR_INT	ROTATE	775	-1	0	8	NONE	NONE	0	0	0	1500	0	1000000	500	20	1	0	0	0	0	0	0	0	0
	#DEF	HOLOMAP_LIB	ROTATE	1312	-1	0	8	NONE	NONE	0	0	0	1500	0	1000000	500	20	1	0	0	0	0	0	0	0	0

	#DEF	BARREL_BARRIER	STATIC	1560	-1	0	6	BOX	NONE	0	0	0	10000000	0	400	1200	20	1	1	0	0	0	0	0	0	0
	#DEF	BARREL_CORNER	STATIC	1563	-1	0	6	BOX	NONE	0	0	0	10000000	0	400	1200	20	1	1	0	0	0	0	0	0	0
	#DEF	BARREL_BIOHAZ	STATIC	1561	-1	0	6	BOX	NONE	0	0	0	10000000	0	400	1200	20	1	1	0	0	0	0	0	0	0
	#DEF	BARREL_BLUE	STATIC	1562	-1	0	6	BOX	NONE	0	0	0	10000000	0	400	1200	20	1	1	0	0	0	0	0	0	0
	#DEF	BARREL_GREY	STATIC	1564	-1	0	6	BOX	NONE	0	0	0	10000000	0	400	1200	20	1	1	0	0	0	0	0	0	0
