#VEHICLE DEFINITIONS FILE																										

USC : DEFINITIONS																										
#REM	DEF	OBNAME	MODE	MESH	HEAD_ICON	COCKPIT	ICON	COLLISN	DETECT	DRANGE	CAMERA	SHADOW	MASS KG	THRUST KG	DAMAGE	MAXVEL	ACCEL	SPACE	SURF	TILT_Z	CAN CARRY	VIEW OB	TARGET OB	SOUND Db	FIREMISSION AWARE	TARGETTABLE

	#DEF	SNIPERRIFLE	WEAPON	205	-1	0	3	NONE	NONE	0	1	1	4000	0	0	20	20	0	1	0	0	0	0	0	0	0
	#DEF	ROCKETLAUNCH	WEAPON	204	-1	0	3	NONE	NONE	0	1	1	4000	0	0	20	20	0	1	0	0	0	0	0	0	0
	#DEF	GUIDED_ROCKETLAUNCH	WEAPON	2347	-1	0	3	NONE	NONE	0	1	1	4000	0	0	20	20	0	1	0	0	0	0	0	0	0
	#DEF	USC_FLAMER	WEAPON	2175	-1	0	13	NONE	NONE	0	1	1	4000	0	0	20	20	0	1	0	0	0	0	0	0	0
	#DEF	USC_FLAMER2	WEAPON	2175	-1	0	13	NONE	NONE	0	1	1	4000	0	0	20	20	0	1	0	0	0	0	0	0	0
	#DEF	ASSAULT_RIFLE	WEAPON	222	-1	0	3	NONE	NONE	0	1	1	4000	0	0	20	20	0	1	0	0	0	0	0	0	0
	#DEF	ASSAULT_RIFLE2	WEAPON	829	-1	0	3	NONE	NONE	0	1	1	4000	0	0	20	20	0	1	0	0	0	0	0	0	0
	#DEF	ASSAULT_RIFLE3	WEAPON	806	-1	0	3	NONE	NONE	0	1	1	4000	0	0	20	20	0	1	0	0	0	0	0	0	0
	#DEF	MACHINEGUN	WEAPON	202	-1	0	6	NONE	NONE	0	1	1	1500	0	0	30	20	1	1	0	0	0	0	0	0	0
	#DEF	SHOTGUN	WEAPON	200	-1	0	6	NONE	NONE	0	1	1	1500	0	0	30	20	1	1	0	0	0	0	0	0	0
	#DEF	SUBMACHINE	WEAPON	2556	-1	0	6	NONE	NONE	0	1	1	1500	0	0	30	20	1	1	0	0	0	0	0	0	0

	#DEF	SNIPERRIFLE_MP	WEAPON	205	-1	0	3	NONE	NONE	0	1	1	4000	0	0	20	20	0	1	0	0	0	0	0	0	0
	#DEF	ROCKETLAUNCH_MP	WEAPON	204	-1	0	3	NONE	NONE	0	1	1	4000	0	0	20	20	0	1	0	0	0	0	0	0	0
	#DEF	GUIDED_ROCKET_MP	WEAPON	2347	-1	0	3	NONE	NONE	0	1	1	4000	0	0	20	20	0	1	0	0	0	0	0	0	0
	#DEF	USC_FLAMER_MP	WEAPON	2175	-1	0	13	NONE	NONE	0	1	1	4000	0	0	20	20	0	1	0	0	0	0	0	0	0
	#DEF	ASSAULT_RIFLE_MP	WEAPON	222	-1	0	3	NONE	NONE	0	1	1	4000	0	0	20	20	0	1	0	0	0	0	0	0	0
	#DEF	ASSAULT_RIFLE2_MP	WEAPON	829	-1	0	3	NONE	NONE	0	1	1	4000	0	0	20	20	0	1	0	0	0	0	0	0	0
	#DEF	ASSAULT_RIFLE3_MP	WEAPON	806	-1	0	3	NONE	NONE	0	1	1	4000	0	0	20	20	0	1	0	0	0	0	0	0	0
	#DEF	MACHINEGUN_MP	WEAPON	202	-1	0	6	NONE	NONE	0	1	1	1500	0	0	30	20	1	1	0	0	0	0	0	0	0
	#DEF	SHOTGUN_MP	WEAPON	200	-1	0	6	NONE	NONE	0	1	1	1500	0	0	30	20	1	1	0	0	0	0	0	0	0
	#DEF	SUBMACHINE_MP	WEAPON	2556	-1	0	6	NONE	NONE	0	1	1	1500	0	0	30	20	1	1	0	0	0	0	0	0	0

	#DEF	HOLO_SNIPERRIFLE	WEAPON	2614	-1	0	3	NONE	NONE	0	1	1	4000	0	0	20	20	0	1	0	0	0	0	0	0	0
	#DEF	HOLO_ROCKETLAUNCH	WEAPON	2170	-1	0	3	NONE	NONE	0	1	1	4000	0	0	20	20	0	1	0	0	0	0	0	0	0
																										
	#DEF	HOLO_ASSAULT_RIFLE	WEAPON	278	-1	0	3	NONE	NONE	0	1	1	4000	0	0	20	20	0	1	0	0	0	0	0	0	0
	#DEF	HOLO_ASSAULT_GRENADE	WEAPON	278	-1	0	3	NONE	NONE	0	1	1	4000	0	0	20	20	0	1	0	0	0	0	0	0	0
	#DEF	ASSAULT_RIFLE4	WEAPON	222	-1	0	3	NONE	NONE	0	1	1	4000	0	0	20	20	0	1	0	0	0	0	0	0	0
	#DEF	ASSAULT_RIFLEA	WEAPON	222	-1	0	3	NONE	NONE	0	1	1	4000	0	0	20	20	0	1	0	0	0	0	0	0	0
	#DEF	MINIGUN2	TURRET	157	-1	0	0	NONE	OWNER	0	1	0	1000	0	0	80	2	0	1	0	0	0	0	0	0	0
	#DEF	MINIGUN2A	TURRET	157	-1	0	0	NONE	NONE	0	1	0	1000	0	0	80	2	0	1	0	0	0	0	0	0	0
	#DEF	MINIGUN2B	TURRET	157	-1	0	0	NONE	NONE	0	1	0	1000	0	0	80	2	0	1	0	0	0	0	0	0	0
	#DEF	BUGMZL	ROTATE_MANNED	128	-1	0	7	NONE	NONE	0	0	0	500	0	0	0	0	0	0	0	0	0	0	0	0	0
	#DEF	TANKMZL	ROTATE_MANNED	128	-1	0	7	NONE	OWNER	1	0	0	500	0	0	0	0	0	0	0	0	0	0	0	0	0
	#DEF	PLASCAN	TURRET	147	-1	0	6	NONE	OWNER	1	3	1	1500	0	0	30	20	1	1	0	0	0	0	0	0	0
	#DEF	PLASCAN_A	TURRET	147	-1	0	6	NONE	OWNER	1	3	1	1500	0	0	30	20	1	1	0	0	0	0	0	0	0
	#DEF	PLASCAN2	TURRET	424	-1	0	6	NONE	OWNER	1	3	1	1500	0	0	30	20	1	1	0	0	0	0	0	0	0
	#DEF	MACHINEGUN2	TURRET	167	-1	0	6	POLY	OWNER	0	1	1	1500	0	0	30	20	1	1	0	0	1	0	0	0	0
	#DEF	MACHINEGUN3	TURRET	366	-1	0	6	NONE	OWNER	0	1	1	1500	0	0	30	20	1	1	0	0	1	0	0	0	0
	#DEF	MACHINEGUN2_MP	TURRET	167	-1	0	6	POLY	OWNER	0	1	1	1500	0	0	30	20	1	1	0	0	1	0	0	0	0
	#DEF	MACHINEGUN3_MP	TURRET	366	-1	0	6	NONE	OWNER	0	1	1	1500	0	0	30	20	1	1	0	0	1	0	0	0	0
	#DEF	ENERGY	WEAPON	203	-1	0	3	NONE	NONE	0	1	1	4000	0	0	20	20	0	1	0	0	0	0	0	0	0
	#DEF	ASSAULT_GRENADE	WEAPON	222	-1	0	3	NONE	NONE	0	1	1	4000	0	0	20	20	0	1	0	0	0	0	0	0	0
	#DEF	HANDGUN	WEAPON	201	-1	0	6	NONE	NONE	0	1	1	1500	0	0	30	20	1	1	0	0	0	0	0	0	0
	#DEF	VMISSILELAUNCH	TURRET	166	-1	0	6	NONE	CONE	1	0	1	1500	0	0	30	20	1	1	0	0	0	0	0	0	0
	#DEF	MEDIC_CHARGE	WEAPON	5	-1	0	6	NONE	NONE	0	1	1	1500	0	0	30	20	1	1	0	0	0	0	0	0	0
#REM	DEF	OBNAME	MODE	MESH	HEAD_ICON	COCKPIT	ICON	COLLISN	DETECT	DRANGE	CAMERA	SHADOW	MASS KG	THRUST KG	DAMAGE	MAXVEL	ACCEL	SPACE	SURF	TILT_Z	CAN CARRY	VIEW OB	TARGET OB	SOUND Db	FIREMISSION AWARE	TARGETTABLE
	#DEF	UBERHUMV_STAND	TURRET	327	-1	0	-1	NONE	CONE	1	0	0	4000	0	0	20	20	0	1	0	0	0	0	0	0	0
	#DEF	UBERGUN_BASE	STATIC	341	-1	0	-1	NONE	NONE	1	0	0	4000	0	0	20	20	0	1	0	0	0	0	0	0	0
	#DEF	UBERGUN_BASE_MP	STATIC	341	-1	0	-1	NONE	NONE	1	0	0	4000	0	0	20	20	0	1	0	0	0	0	0	0	0
	#DEF	UBERGUN_BASE2	DOOR	341	-1	0	-1	NONE	NONE	1	0	0	4000	0	0	20	20	0	1	0	0	0	0	0	0	0
	#DEF	UBERGUN_360	TURRET	2325	-1	0	-1	NONE	CONE	1	0	0	4000	0	0	20	20	0	1	0	0	0	0	0	0	0
	#DEF	UBERGUN_360_MP	TURRET	2325	-1	0	-1	NONE	CONE	1	0	0	4000	0	0	20	20	0	1	0	0	0	0	0	0	0
	#DEF	UBERGUN_APC	TURRET	2325	-1	0	-1	NONE	CONE	1	0	0	4000	0	0	20	20	0	1	0	0	0	0	0	0	0
	#DEF	UBERGUN_APC2	TURRET	2325	-1	0	-1	NONE	CONE	1	0	0	4000	0	0	20	20	0	1	0	0	0	0	0	0	0
	#DEF	UBERGUN_DP1	TURRET	2325	-1	0	-1	NONE	CONE	1	0	0	4000	0	0	20	20	0	1	0	0	0	0	0	0	0
	#DEF	UBERGUN_DP2	TURRET	2325	-1	0	-1	NONE	CONE	1	0	0	4000	0	0	20	20	0	1	0	0	0	0	0	0	0
	#DEF	UBERGUN	TURRET	2325	-1	0	-1	NONE	CONE	1	0	0	4000	0	0	20	20	0	1	0	0	0	0	0	0	0
	#DEF	UBERGUN_X	TURRET	2322	-1	0	-1	NONE	CONE	1	1	0	4000	0	0	20	20	0	1	0	0	1	0	0	0	0
	#DEF	UBERGUN_X_MP	TURRET	2322	-1	0	-1	NONE	CONE	1	1	0	4000	0	0	20	20	0	1	0	0	1	0	0	0	0
	#DEF	UBERGUN_X2	TURRET	2322	-1	0	11	NONE	CONE	1	1	0	4000	0	0	20	20	0	1	0	0	1	0	0	0	0
	#DEF	UBERGUN_X3	TURRET	2322	-1	0	11	NONE	CONE	1	1	0	4000	0	0	20	20	0	1	0	0	1	0	0	0	0
	#DEF	UBERGUN_BARREL	ROTATE_MANNED	2323	-1	0	11	NONE	NONE	0	0	0	4000	0	0	20	20	0	1	0	0	0	0	0	0	0
	#DEF	UBERGUN_BARREL2	TURRET	5	-1	0	11	NONE	NONE	0	0	0	4000	0	0	20	20	0	1	0	0	0	0	0	0	0
	#DEF	UBERGUN_BULLETS	ROTATE_MANNED	2324	-1	0	11	NONE	NONE	0	0	0	4000	0	0	20	20	0	1	0	0	0	0	0	0	0

	#DEF	UBERMORTA_BASE	STATIC	341	-1	0	-1	NONE	NONE	1	0	0	4000	0	0	20	20	0	1	0	0	0	0	0	0	0
	#DEF	UBERMORTA_360	TURRET	2325	-1	0	-1	NONE	CONE	1	0	0	4000	0	0	20	20	0	1	0	0	0	0	0	0	0
